X,Y,UsoVegetacaoIBGE_tif,altitude_br_tif,declividade_br_tif,density3_br_tif,ModisGPP_MOD17A2_2010_rec_tif,ModisNPP_MOD17A3_2010_rec_tif,ModisVCF_MOD44B_2010_rec_tif,sa2001tree_br_tif,UsoAntropicoIBGE_tif
-54.62667799,-9.176157176,2,560.51,53100.53,12.24,672,23206,33,35,1
-47.00198299,-2.043109176,5,60.03,18391.19,17.04,183,13399,41,100,7
-56.86825499,-4.309685176,28,88.5,62119.28,29.19,331,24376,76,95,1
-48.82690999,-3.043069176,18,72.61,54967.72,12.68,654,21184,36,74,1
-54.60167899,-0.451506176,2,337.64,156990.5,25.57,463,27059,64,81,1
-57.13491099,1.306756824,2,240.68,59592.37,14.15,529,25331,66,84,1
-55.37664799,-8.009537176,16,263.01,101428.5,23.41,777,22855,66,82,1
-49.62687799,-0.601500176,12,11.03,32633.25,15.53,590,25500,34,77,1
-50.91849299,-7.501224176,7,528.1,377360,18.95,104,22883,18,77,1
-57.18490899,-8.592847176,39,262.1,233204.7,12.27,627,25103,69,81,1
-51.81012399,-6.259607176,5,261.88,76844.18,21.96,268,15758,18,68,7
-51.69346199,-9.109493176,16,427.36,687855.88,13.28,756,23715,52,61,1
-52.16010999,-3.143065176,5,148.07,126714.5,11.97,118,13186,14,43,7
-51.66846299,-6.351270176,5,277.56,107834.2,17.51,366,17162,22,0,7
-52.66008999,-4.942993176,16,200.21,56829.09,26.16,364,25011,74,72,1
-48.44359199,-2.343097176,18,41.1,10933.63,11.12,629,24290,17,83,1
-47.04364799,-3.076401176,18,191.57,8013.41,18.83,699,24158,52,35,1
-48.79357799,-4.426347176,25,153.83,97710.91,20.45,288,16466,21,14,1
-50.87682799,-0.159851176,6,7.48,12876.86,20.01,556,25931,79,94,1
-58.49318999,0.556786824,1,197.32,97563.64,16.8,558,28456,79,83,1
-56.17661599,-0.751494176,2,197.99,665222.5,12.05,463,27143,83,81,1
-57.02658199,-4.326351176,28,88.92,76814.66,15.1,677,25590,76,83,1
-52.61842499,-6.784586176,2,340.67,233369.41,7.87,308,24004,62,79,1
-54.75167299,-1.343137176,2,345.82,742393.88,26.58,543,26806,77,78,1
-47.85194899,-3.001404176,24,27.83,32383.98,23.8,234,12662,10,17,1
-52.76841899,-1.801452176,11,2.91,3446.16,17.79,573,17747,24,37,1
-50.41851299,-0.868156176,6,22.13,25123.38,17.03,231,23103,61,83,1
-52.97674399,-4.718002176,16,191,35883.16,17.9,595,25865,77,77,1
-55.72663399,-7.684550176,2,375.75,228851.3,18.22,697,24481,78,52,1
-52.36843499,-6.001284176,2,291.29,417384.31,26.78,660,24973,35,72,1
-54.74333999,-1.934780176,3,13.09,85444.46,21,227,13821,19,63,1
-56.31827699,-0.501504176,2,208.51,164489.91,20.91,448,27308,84,82,1
-50.65183699,-6.342937176,13,249.68,115590.3,15.96,744,24606,73,78,1
-50.37684799,-2.451426176,28,45.25,22795.88,16.43,614,20535,64,83,1
-55.85996199,1.715073824,4,319.61,83693.25,20.3,154,12524,30,8,1
-53.97670399,-3.559715176,28,261.55,286788.19,18.27,636,26086,75,31,1
-55.42664599,-2.559755176,5,26.6,110152.1,23.07,500,25732,69,75,1
-57.91821299,0.690114824,1,492.42,663359.38,12.64,531,27658,78,85,1
-53.62671799,-8.184530176,6,269.71,112273.7,25.1,636,24010,74,79,1
-48.48525699,-2.793079176,18,43.77,37918.27,10.74,666,23643,81,77,1
-58.67651599,0.490122824,1,210.08,162530.59,16.26,545,26725,67,84,1
-50.79349799,-9.151158176,16,203.52,105315.5,20.41,715,20506,33,81,1
-51.75179299,-5.142985176,2,198.27,96189.82,15.52,598,24098,75,76,1
-52.49342999,-7.992871176,16,285.5,64764.09,14.77,689,24746,72,80,1
